"filename", "language", "JSON with Comments", "CSS", "HTML", "JSON", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\unrouted\tipousuario-detail-admin-unrouted\tipousuario-detail-admin-unrouted.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\unrouted\tipousuario-detail-admin-unrouted\tipousuario-detail-admin-unrouted.component.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 8, 37
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-edit-admin\usuario-edit-admin.component.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-edit-admin\usuario-edit-admin.component.html", "HTML", 0, 0, 173, 0, 0, 0, 0, 18, 191
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-edit-admin\usuario-edit-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-edit-admin\usuario-edit-admin.component.ts", "TypeScript", 0, 0, 0, 0, 206, 0, 3, 23, 232
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-new-admin\usuario-new-admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-new-admin\usuario-new-admin.component.html", "HTML", 0, 0, 187, 0, 0, 0, 0, 25, 212
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-new-admin\usuario-new-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-new-admin\usuario-new-admin.component.ts", "TypeScript", 0, 0, 0, 0, 108, 0, 1, 25, 134
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-plist-admin\usuario-plist-admin.component.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-plist-admin\usuario-plist-admin.component.html", "HTML", 0, 0, 89, 0, 0, 0, 0, 2, 91
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-plist-admin\usuario-plist-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-plist-admin\usuario-plist-admin.component.ts", "TypeScript", 0, 0, 0, 0, 85, 0, 1, 22, 108
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-remove-admin\usuario-remove-admin.component.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-remove-admin\usuario-remove-admin.component.html", "HTML", 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-remove-admin\usuario-remove-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-remove-admin\usuario-remove-admin.component.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 14, 49
